START_DATE,END_DATE,CATEGORY,START,STOP,MILES,PURPOSE,START_TS,END_TS,duration_min,date,year,month,month_name,weekday,hour,day-night,MONTH,DAY
01-01-2016 21:11,01-01-2016 21:17,Business,Fort Pierce,Fort Pierce,5.1,Meal/Entertain,2016-01-01 21:11:00,2016-01-01 21:17:00,6.0,2016-01-01,2016,1,January,Friday,21,Night,Jan,Fri
01-02-2016 20:25,01-02-2016 20:38,Business,Fort Pierce,Fort Pierce,4.8,Errand/Supplies,2016-01-02 20:25:00,2016-01-02 20:38:00,13.0,2016-01-02,2016,1,January,Saturday,20,Night,Jan,Sat
01-05-2016 17:31,01-05-2016 17:45,Business,Fort Pierce,Fort Pierce,4.7,Meeting,2016-01-05 17:31:00,2016-01-05 17:45:00,14.0,2016-01-05,2016,1,January,Tuesday,17,Evening,Jan,Tues
01-06-2016 14:42,01-06-2016 15:49,Business,Fort Pierce,West Palm Beach,63.7,Customer Visit,2016-01-06 14:42:00,2016-01-06 15:49:00,67.0,2016-01-06,2016,1,January,Wednesday,14,Afternoon,Jan,Wed
01-06-2016 17:15,01-06-2016 17:19,Business,West Palm Beach,West Palm Beach,4.3,Meal/Entertain,2016-01-06 17:15:00,2016-01-06 17:19:00,4.0,2016-01-06,2016,1,January,Wednesday,17,Evening,Jan,Wed
01-06-2016 17:30,01-06-2016 17:35,Business,West Palm Beach,Palm Beach,7.1,Meeting,2016-01-06 17:30:00,2016-01-06 17:35:00,5.0,2016-01-06,2016,1,January,Wednesday,17,Evening,Jan,Wed
01-07-2016 13:27,01-07-2016 13:33,Business,Cary,Cary,0.8,Meeting,2016-01-07 13:27:00,2016-01-07 13:33:00,6.0,2016-01-07,2016,1,January,Thursday,13,Afternoon,Jan,Thus
01-10-2016 08:05,01-10-2016 08:25,Business,Cary,Morrisville,8.3,Meeting,2016-01-10 08:05:00,2016-01-10 08:25:00,20.0,2016-01-10,2016,1,January,Sunday,8,Morning,Jan,Sun
01-10-2016 12:17,01-10-2016 12:44,Business,Jamaica,New York,16.5,Customer Visit,2016-01-10 12:17:00,2016-01-10 12:44:00,27.0,2016-01-10,2016,1,January,Sunday,12,Afternoon,Jan,Sun
01-10-2016 15:08,01-10-2016 15:51,Business,New York,Queens,10.8,Meeting,2016-01-10 15:08:00,2016-01-10 15:51:00,43.0,2016-01-10,2016,1,January,Sunday,15,Afternoon,Jan,Sun
01-10-2016 18:18,01-10-2016 18:53,Business,Elmhurst,New York,7.5,Meeting,2016-01-10 18:18:00,2016-01-10 18:53:00,35.0,2016-01-10,2016,1,January,Sunday,18,Evening,Jan,Sun
01-10-2016 19:12,01-10-2016 19:32,Business,Midtown,East Harlem,6.2,Meeting,2016-01-10 19:12:00,2016-01-10 19:32:00,20.0,2016-01-10,2016,1,January,Sunday,19,Evening,Jan,Sun
01-11-2016 08:55,01-11-2016 09:21,Business,East Harlem,NoMad,6.4,Temporary Site,2016-01-11 08:55:00,2016-01-11 09:21:00,26.0,2016-01-11,2016,1,January,Monday,8,Morning,Jan,Mon
01-11-2016 11:56,01-11-2016 12:03,Business,Flatiron District,Midtown,1.6,Errand/Supplies,2016-01-11 11:56:00,2016-01-11 12:03:00,7.0,2016-01-11,2016,1,January,Monday,11,Afternoon,Jan,Mon
01-11-2016 13:32,01-11-2016 13:46,Business,Midtown,Midtown East,1.7,Meal/Entertain,2016-01-11 13:32:00,2016-01-11 13:46:00,14.0,2016-01-11,2016,1,January,Monday,13,Afternoon,Jan,Mon
01-11-2016 14:30,01-11-2016 14:43,Business,Midtown East,Midtown,1.9,Meal/Entertain,2016-01-11 14:30:00,2016-01-11 14:43:00,13.0,2016-01-11,2016,1,January,Monday,14,Afternoon,Jan,Mon
01-12-2016 12:33,01-12-2016 12:49,Business,Midtown,Hudson Square,1.9,Meal/Entertain,2016-01-12 12:33:00,2016-01-12 12:49:00,16.0,2016-01-12,2016,1,January,Tuesday,12,Afternoon,Jan,Tues
01-12-2016 12:53,01-12-2016 13:09,Business,Hudson Square,Lower Manhattan,4.0,Meal/Entertain,2016-01-12 12:53:00,2016-01-12 13:09:00,16.0,2016-01-12,2016,1,January,Tuesday,12,Afternoon,Jan,Tues
01-12-2016 14:42,01-12-2016 14:56,Business,Lower Manhattan,Hudson Square,1.8,Errand/Supplies,2016-01-12 14:42:00,2016-01-12 14:56:00,14.0,2016-01-12,2016,1,January,Tuesday,14,Afternoon,Jan,Tues
01-12-2016 15:13,01-12-2016 15:28,Business,Hudson Square,Hell's Kitchen,2.4,Customer Visit,2016-01-12 15:13:00,2016-01-12 15:28:00,15.0,2016-01-12,2016,1,January,Tuesday,15,Afternoon,Jan,Tues
01-12-2016 15:42,01-12-2016 15:54,Business,Hell's Kitchen,Midtown,2.0,Errand/Supplies,2016-01-12 15:42:00,2016-01-12 15:54:00,12.0,2016-01-12,2016,1,January,Tuesday,15,Afternoon,Jan,Tues
01-12-2016 16:02,01-12-2016 17:00,Business,New York,Queens County,15.1,Meeting,2016-01-12 16:02:00,2016-01-12 17:00:00,58.0,2016-01-12,2016,1,January,Tuesday,16,Evening,Jan,Tues
1/13/2016 13:54,1/13/2016 14:07,Business,Downtown,Gulfton,11.2,Meeting,2016-01-13 13:54:00,2016-01-13 14:07:00,13.0,2016-01-13,2016,1,January,Wednesday,13,Afternoon,Jan,Wed
1/13/2016 15:00,1/13/2016 15:28,Business,Gulfton,Downtown,11.8,Meeting,2016-01-13 15:00:00,2016-01-13 15:28:00,28.0,2016-01-13,2016,1,January,Wednesday,15,Afternoon,Jan,Wed
1/14/2016 16:29,1/14/2016 17:05,Business,Houston,Houston,21.9,Customer Visit,2016-01-14 16:29:00,2016-01-14 17:05:00,36.0,2016-01-14,2016,1,January,Thursday,16,Evening,Jan,Thus
1/14/2016 21:39,1/14/2016 21:45,Business,Eagan Park,Jamestown Court,3.9,Errand/Supplies,2016-01-14 21:39:00,2016-01-14 21:45:00,6.0,2016-01-14,2016,1,January,Thursday,21,Night,Jan,Thus
1/15/2016 0:41,1/15/2016 1:01,Business,Morrisville,Cary,8.0,Errand/Supplies,2016-01-15 00:41:00,2016-01-15 01:01:00,20.0,2016-01-15,2016,1,January,Friday,0,Morning,Jan,Fri
1/15/2016 11:43,1/15/2016 12:03,Business,Cary,Durham,10.4,Meal/Entertain,2016-01-15 11:43:00,2016-01-15 12:03:00,20.0,2016-01-15,2016,1,January,Friday,11,Afternoon,Jan,Fri
1/15/2016 13:26,1/15/2016 13:44,Business,Durham,Cary,10.4,Meal/Entertain,2016-01-15 13:26:00,2016-01-15 13:44:00,18.0,2016-01-15,2016,1,January,Friday,13,Afternoon,Jan,Fri
1/18/2016 14:55,1/18/2016 15:06,Business,Cary,Cary,4.8,Meal/Entertain,2016-01-18 14:55:00,2016-01-18 15:06:00,11.0,2016-01-18,2016,1,January,Monday,14,Afternoon,Jan,Mon
1/18/2016 16:13,1/18/2016 16:24,Business,Farmington Woods,Whitebridge,4.7,Meal/Entertain,2016-01-18 16:13:00,2016-01-18 16:24:00,11.0,2016-01-18,2016,1,January,Monday,16,Evening,Jan,Mon
1/19/2016 10:55,1/19/2016 11:09,Business,Lake Wellingborough,Whitebridge,7.6,Temporary Site,2016-01-19 10:55:00,2016-01-19 11:09:00,14.0,2016-01-19,2016,1,January,Tuesday,10,Morning,Jan,Tues
1/20/2016 10:36,1/20/2016 11:11,Business,Cary,Raleigh,17.1,Meeting,2016-01-20 10:36:00,2016-01-20 11:11:00,35.0,2016-01-20,2016,1,January,Wednesday,10,Morning,Jan,Wed
1/20/2016 11:48,1/20/2016 12:19,Business,Fayetteville Street,Umstead,15.1,Meeting,2016-01-20 11:48:00,2016-01-20 12:19:00,31.0,2016-01-20,2016,1,January,Wednesday,11,Afternoon,Jan,Wed
1/20/2016 13:25,1/20/2016 14:19,Business,Raleigh,Cary,40.2,Customer Visit,2016-01-20 13:25:00,2016-01-20 14:19:00,54.0,2016-01-20,2016,1,January,Wednesday,13,Afternoon,Jan,Wed
1/21/2016 14:25,1/21/2016 14:29,Business,Cary,Cary,1.6,Errand/Supplies,2016-01-21 14:25:00,2016-01-21 14:29:00,4.0,2016-01-21,2016,1,January,Thursday,14,Afternoon,Jan,Thus
1/21/2016 14:43,1/21/2016 14:51,Business,Cary,Cary,2.4,Meal/Entertain,2016-01-21 14:43:00,2016-01-21 14:51:00,8.0,2016-01-21,2016,1,January,Thursday,14,Afternoon,Jan,Thus
1/21/2016 16:01,1/21/2016 16:06,Business,Cary,Cary,1.0,Meal/Entertain,2016-01-21 16:01:00,2016-01-21 16:06:00,5.0,2016-01-21,2016,1,January,Thursday,16,Evening,Jan,Thus
1/26/2016 10:41,1/26/2016 10:50,Business,Whitebridge,Hazelwood,2.0,Meal/Entertain,2016-01-26 10:41:00,2016-01-26 10:50:00,9.0,2016-01-26,2016,1,January,Tuesday,10,Morning,Jan,Tues
1/26/2016 12:33,1/26/2016 12:41,Business,Hazelwood,Whitebridge,2.3,Errand/Supplies,2016-01-26 12:33:00,2016-01-26 12:41:00,8.0,2016-01-26,2016,1,January,Tuesday,12,Afternoon,Jan,Tues
1/26/2016 16:24,1/26/2016 16:32,Business,Whitebridge,Westpark Place,1.9,Errand/Supplies,2016-01-26 16:24:00,2016-01-26 16:32:00,8.0,2016-01-26,2016,1,January,Tuesday,16,Evening,Jan,Tues
1/26/2016 17:17,1/26/2016 17:22,Business,Cary,Cary,1.4,Errand/Supplies,2016-01-26 17:17:00,2016-01-26 17:22:00,5.0,2016-01-26,2016,1,January,Tuesday,17,Evening,Jan,Tues
1/26/2016 17:27,1/26/2016 17:29,Business,Cary,Cary,0.5,Errand/Supplies,2016-01-26 17:27:00,2016-01-26 17:29:00,2.0,2016-01-26,2016,1,January,Tuesday,17,Evening,Jan,Tues
1/27/2016 9:24,1/27/2016 9:31,Business,Cary,Cary,1.8,Meeting,2016-01-27 09:24:00,2016-01-27 09:31:00,7.0,2016-01-27,2016,1,January,Wednesday,9,Morning,Jan,Wed
1/27/2016 10:19,1/27/2016 10:48,Business,Cary,Raleigh,18.7,Customer Visit,2016-01-27 10:19:00,2016-01-27 10:48:00,29.0,2016-01-27,2016,1,January,Wednesday,10,Morning,Jan,Wed
1/27/2016 12:34,1/27/2016 12:44,Business,Fairmont,Meredith Townes,3.4,Customer Visit,2016-01-27 12:34:00,2016-01-27 12:44:00,10.0,2016-01-27,2016,1,January,Wednesday,12,Afternoon,Jan,Wed
1/27/2016 14:05,1/27/2016 14:13,Business,Raleigh,Raleigh,2.7,Customer Visit,2016-01-27 14:05:00,2016-01-27 14:13:00,8.0,2016-01-27,2016,1,January,Wednesday,14,Afternoon,Jan,Wed
1/27/2016 14:46,1/27/2016 15:08,Business,Raleigh,Cary,12.9,Customer Visit,2016-01-27 14:46:00,2016-01-27 15:08:00,22.0,2016-01-27,2016,1,January,Wednesday,14,Afternoon,Jan,Wed
1/28/2016 12:28,1/28/2016 13:00,Business,Cary,Raleigh,19.0,Temporary Site,2016-01-28 12:28:00,2016-01-28 13:00:00,32.0,2016-01-28,2016,1,January,Thursday,12,Afternoon,Jan,Thus
1/28/2016 15:11,1/28/2016 15:31,Business,Meredith Townes,Leesville Hollow,14.7,Meeting,2016-01-28 15:11:00,2016-01-28 15:31:00,20.0,2016-01-28,2016,1,January,Thursday,15,Afternoon,Jan,Thus
1/28/2016 16:21,1/28/2016 16:51,Business,Raleigh,Cary,15.7,Meeting,2016-01-28 16:21:00,2016-01-28 16:51:00,30.0,2016-01-28,2016,1,January,Thursday,16,Evening,Jan,Thus
1/29/2016 9:31,1/29/2016 9:45,Business,Cary,Cary,4.6,Customer Visit,2016-01-29 09:31:00,2016-01-29 09:45:00,14.0,2016-01-29,2016,1,January,Friday,9,Morning,Jan,Fri
1/29/2016 10:56,1/29/2016 11:07,Business,Cary,Cary,5.2,Meeting,2016-01-29 10:56:00,2016-01-29 11:07:00,11.0,2016-01-29,2016,1,January,Friday,10,Morning,Jan,Fri
1/29/2016 11:43,1/29/2016 12:03,Business,Cary,Durham,10.4,Meeting,2016-01-29 11:43:00,2016-01-29 12:03:00,20.0,2016-01-29,2016,1,January,Friday,11,Afternoon,Jan,Fri
1/29/2016 13:24,1/29/2016 13:47,Business,Durham,Cary,10.1,Meeting,2016-01-29 13:24:00,2016-01-29 13:47:00,23.0,2016-01-29,2016,1,January,Friday,13,Afternoon,Jan,Fri
1/29/2016 18:31,1/29/2016 18:52,Business,Cary,Apex,5.8,Errand/Supplies,2016-01-29 18:31:00,2016-01-29 18:52:00,21.0,2016-01-29,2016,1,January,Friday,18,Evening,Jan,Fri
1/29/2016 21:21,1/29/2016 21:40,Business,Apex,Cary,5.5,Meal/Entertain,2016-01-29 21:21:00,2016-01-29 21:40:00,19.0,2016-01-29,2016,1,January,Friday,21,Night,Jan,Fri
1/30/2016 16:21,1/30/2016 16:33,Business,Cary,Apex,5.7,Errand/Supplies,2016-01-30 16:21:00,2016-01-30 16:33:00,12.0,2016-01-30,2016,1,January,Saturday,16,Evening,Jan,Sat
1/30/2016 18:09,1/30/2016 18:24,Business,Apex,Cary,5.7,Customer Visit,2016-01-30 18:09:00,2016-01-30 18:24:00,15.0,2016-01-30,2016,1,January,Saturday,18,Evening,Jan,Sat
02-01-2016 10:35,02-01-2016 11:15,Business,Cary,Chapel Hill,19.4,Customer Visit,2016-02-01 10:35:00,2016-02-01 11:15:00,40.0,2016-02-01,2016,2,February,Monday,10,Morning,Feb,Mon
02-01-2016 12:10,02-01-2016 12:43,Business,Chapel Hill,Cary,23.3,Customer Visit,2016-02-01 12:10:00,2016-02-01 12:43:00,33.0,2016-02-01,2016,2,February,Monday,12,Afternoon,Feb,Mon
02-01-2016 12:56,02-01-2016 13:07,Business,Northwoods,Whitebridge,3.9,Meal/Entertain,2016-02-01 12:56:00,2016-02-01 13:07:00,11.0,2016-02-01,2016,2,February,Monday,12,Afternoon,Feb,Mon
02-02-2016 13:04,02-02-2016 13:23,Business,Whitebridge,Williamsburg Manor,8.3,Meeting,2016-02-02 13:04:00,2016-02-02 13:23:00,19.0,2016-02-02,2016,2,February,Tuesday,13,Afternoon,Feb,Tues
02-02-2016 13:51,02-02-2016 14:06,Business,Cary,Cary,6.0,Errand/Supplies,2016-02-02 13:51:00,2016-02-02 14:06:00,15.0,2016-02-02,2016,2,February,Tuesday,13,Afternoon,Feb,Tues
02-02-2016 14:38,02-02-2016 14:42,Business,Cary,Cary,1.6,Errand/Supplies,2016-02-02 14:38:00,2016-02-02 14:42:00,4.0,2016-02-02,2016,2,February,Tuesday,14,Afternoon,Feb,Tues
